satisfaction_position,rcd_satisfaction,rcd_opportunities,rcd_recommend,rcd_future,valued_peers,valued_manager,valued_researchers,valued_org,promoted,any_last_applied
Somewhat dissatisfied,Somewhat satisfied,Somewhat disagree,7,Somewhat agree,Sometimes,Most of the time,About half the time,Sometimes,TRUE,Within the last month
Somewhat satisfied,Neither satisfied nor dissatisfied,Strongly disagree,8,Neither agree nor disagree,About half the time,About half the time,Always,About half the time,TRUE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,10,Somewhat agree,NA,Always,Always,Most of the time,FALSE,Within the last month
Somewhat satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Most of the time,Most of the time,Sometimes,TRUE,1-6 months ago
Somewhat dissatisfied,Somewhat dissatisfied,Somewhat disagree,6,Somewhat disagree,Most of the time,Most of the time,Most of the time,Sometimes,FALSE,Within the last month
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,7,Neither agree nor disagree,About half the time,Most of the time,About half the time,Sometimes,FALSE,1-2 years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,5,Somewhat disagree,Most of the time,Most of the time,Always,About half the time,FALSE,NA
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,NA,Neither agree nor disagree,Most of the time,Always,Always,NA,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Strongly agree,6,Strongly agree,Sometimes,Sometimes,Sometimes,Sometimes,TRUE,More than two years ago
Somewhat dissatisfied,Somewhat satisfied,Somewhat disagree,5,Somewhat disagree,About half the time,Sometimes,Sometimes,Sometimes,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat disagree,7,Neither agree nor disagree,Most of the time,Always,About half the time,About half the time,TRUE,NA
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Most of the time,About half the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,8,Strongly agree,Always,Always,Always,Always,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,9,Strongly agree,Most of the time,Always,Always,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat dissatisfied,Somewhat agree,4,Neither agree nor disagree,Always,Always,Always,NA,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Always,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat disagree,10,Neither agree nor disagree,Always,Always,Always,Always,TRUE,1-2 years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Always,TRUE,More than two years ago
Somewhat dissatisfied,Somewhat satisfied,NA,5,NA,NA,NA,NA,NA,FALSE,Within the last month
Neither satisfied nor dissatisfied,Extremely satisfied,Strongly agree,9,Strongly agree,NA,Most of the time,Most of the time,Most of the time,TRUE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,6,Somewhat agree,Always,Most of the time,Always,Most of the time,TRUE,1-6 months ago
Extremely satisfied,Extremely satisfied,Neither agree nor disagree,10,Somewhat agree,Most of the time,Always,Most of the time,Always,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,About half the time,Most of the time,Most of the time,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,9,Neither agree nor disagree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,8,Somewhat agree,Most of the time,Always,Always,Sometimes,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Always,TRUE,NA
Extremely dissatisfied,Somewhat dissatisfied,Strongly disagree,0,Somewhat disagree,Never,Sometimes,Never,Sometimes,TRUE,1-6 months ago
Extremely satisfied,Extremely satisfied,Strongly agree,8,Neither agree nor disagree,NA,Most of the time,Most of the time,Most of the time,TRUE,NA
Somewhat dissatisfied,Neither satisfied nor dissatisfied,Neither agree nor disagree,10,Neither agree nor disagree,Most of the time,Never,Most of the time,Sometimes,FALSE,1-2 years ago
Somewhat satisfied,Neither satisfied nor dissatisfied,Strongly disagree,NA,Strongly disagree,Most of the time,Most of the time,Most of the time,NA,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Strongly agree,6,Somewhat agree,Sometimes,Most of the time,Sometimes,Sometimes,FALSE,7-12 months ago
Somewhat dissatisfied,Neither satisfied nor dissatisfied,Strongly disagree,3,Somewhat disagree,Most of the time,Sometimes,Always,Never,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat disagree,9,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat disagree,9,Neither agree nor disagree,Always,Always,About half the time,Sometimes,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,10,Strongly agree,NA,Always,Always,Always,TRUE,More than two years ago
Extremely satisfied,Somewhat satisfied,Somewhat disagree,5,Somewhat agree,Most of the time,Always,Always,Always,TRUE,More than two years ago
Somewhat satisfied,Extremely satisfied,Somewhat agree,8,Somewhat agree,About half the time,Sometimes,Always,About half the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Somewhat agree,Most of the time,Most of the time,Most of the time,Always,FALSE,More than two years ago
Extremely dissatisfied,Extremely satisfied,Strongly agree,9,Somewhat agree,Most of the time,Always,About half the time,NA,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Neither agree nor disagree,8,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,1-6 months ago
Extremely satisfied,Somewhat satisfied,Somewhat agree,9,Somewhat agree,Most of the time,Always,Always,Sometimes,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,5,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Neither agree nor disagree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,6,Somewhat agree,Most of the time,Most of the time,Most of the time,About half the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,8,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,9,Strongly agree,Most of the time,Never,Most of the time,Sometimes,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,Most of the time,Most of the time,Most of the time,Sometimes,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,9,Somewhat agree,Always,Always,NA,NA,FALSE,1-6 months ago
Extremely satisfied,Extremely satisfied,Strongly agree,8,Strongly agree,Always,Always,About half the time,About half the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,9,Somewhat agree,Most of the time,Always,Always,Sometimes,TRUE,NA
Extremely satisfied,Extremely satisfied,Neither agree nor disagree,10,Strongly disagree,Always,Always,Always,Always,FALSE,More than two years ago
Extremely satisfied,Somewhat satisfied,Neither agree nor disagree,8,Somewhat disagree,Always,Always,Most of the time,Sometimes,FALSE,NA
Extremely satisfied,Extremely satisfied,Neither agree nor disagree,8,Strongly agree,Most of the time,Most of the time,About half the time,Sometimes,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,5,Neither agree nor disagree,Most of the time,Most of the time,About half the time,Most of the time,FALSE,Within the last month
Somewhat satisfied,Somewhat satisfied,Somewhat agree,3,Strongly agree,Sometimes,Sometimes,Most of the time,About half the time,FALSE,NA
Somewhat satisfied,Extremely satisfied,Somewhat disagree,10,Somewhat agree,Always,Always,Most of the time,Always,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Strongly agree,Most of the time,Always,Most of the time,NA,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Neither agree nor disagree,5,Somewhat agree,Sometimes,Most of the time,Always,Sometimes,TRUE,More than two years ago
Somewhat satisfied,Extremely satisfied,Somewhat agree,7,Neither agree nor disagree,Most of the time,Always,Sometimes,Most of the time,FALSE,NA
Extremely satisfied,Somewhat satisfied,Strongly agree,8,Strongly agree,Most of the time,Always,Always,Always,TRUE,More than two years ago
Somewhat satisfied,Extremely satisfied,Somewhat agree,9,Strongly agree,Always,Always,Always,Always,FALSE,NA
Extremely satisfied,Extremely satisfied,Strongly agree,NA,Somewhat agree,Always,Always,Always,Always,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,Always,Most of the time,Always,Most of the time,FALSE,1-6 months ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Neither agree nor disagree,Always,Always,Always,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Neither agree nor disagree,Always,Always,Always,Sometimes,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,9,Strongly agree,Always,Always,Most of the time,Always,TRUE,More than two years ago
Somewhat dissatisfied,Neither satisfied nor dissatisfied,Somewhat disagree,2,Neither agree nor disagree,Sometimes,Sometimes,NA,Sometimes,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,6,Somewhat agree,NA,Most of the time,Sometimes,About half the time,FALSE,1-6 months ago
Extremely satisfied,Extremely satisfied,Somewhat agree,10,Somewhat agree,NA,Most of the time,Most of the time,Most of the time,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,9,Strongly agree,Sometimes,About half the time,Sometimes,Most of the time,FALSE,1-2 years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Most of the time,Always,TRUE,NA
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Most of the time,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Always,TRUE,NA
Extremely satisfied,Extremely satisfied,Somewhat agree,9,Strongly agree,Always,Always,Most of the time,Most of the time,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Neither agree nor disagree,9,Strongly agree,Most of the time,Always,Most of the time,Always,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,9,Somewhat agree,Most of the time,Most of the time,NA,Most of the time,FALSE,1-6 months ago
Extremely satisfied,Extremely satisfied,Somewhat disagree,10,Somewhat agree,Most of the time,Always,Always,Always,FALSE,1-2 years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Most of the time,Most of the time,FALSE,More than two years ago
Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,Most of the time,NA,NA,NA,FALSE,More than two years ago
Extremely satisfied,Somewhat satisfied,Somewhat agree,8,Neither agree nor disagree,Sometimes,Most of the time,Sometimes,About half the time,TRUE,More than two years ago
Somewhat dissatisfied,Somewhat dissatisfied,Somewhat disagree,3,Somewhat disagree,Never,Always,Most of the time,Sometimes,FALSE,NA
Somewhat satisfied,Extremely satisfied,Somewhat agree,8,Strongly agree,NA,Most of the time,Sometimes,Sometimes,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Neither agree nor disagree,9,Somewhat agree,Sometimes,Always,Most of the time,About half the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Strongly agree,8,Strongly agree,NA,Always,Most of the time,Most of the time,FALSE,More than two years ago
Neither satisfied nor dissatisfied,Extremely satisfied,Strongly agree,8,Strongly agree,NA,Never,Always,Never,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,NA,Always,FALSE,NA
Somewhat satisfied,Extremely satisfied,Somewhat agree,5,Strongly agree,Always,Always,Always,About half the time,TRUE,More than two years ago
Neither satisfied nor dissatisfied,Somewhat satisfied,Strongly agree,8,Strongly agree,Most of the time,About half the time,Most of the time,About half the time,TRUE,More than two years ago
Somewhat dissatisfied,Neither satisfied nor dissatisfied,Somewhat disagree,2,Somewhat disagree,Most of the time,NA,Most of the time,NA,FALSE,1-6 months ago
Somewhat satisfied,Neither satisfied nor dissatisfied,Neither agree nor disagree,6,Somewhat agree,NA,NA,Most of the time,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Always,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,8,Strongly agree,Most of the time,Always,Most of the time,Most of the time,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat disagree,9,Somewhat agree,Most of the time,Most of the time,Most of the time,Sometimes,TRUE,NA
Extremely satisfied,Extremely satisfied,Somewhat disagree,10,Strongly agree,Always,Always,Most of the time,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,8,Strongly agree,Most of the time,Always,Always,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,10,Somewhat agree,Never,Always,Sometimes,Sometimes,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Most of the time,About half the time,Most of the time,TRUE,NA
Somewhat satisfied,Extremely satisfied,Strongly agree,8,Strongly agree,Always,Sometimes,Always,About half the time,TRUE,NA
Extremely satisfied,Extremely satisfied,Somewhat agree,8,Strongly agree,Most of the time,Always,Always,Always,FALSE,More than two years ago
Somewhat satisfied,Somewhat dissatisfied,Somewhat agree,6,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,TRUE,NA
Extremely satisfied,Extremely satisfied,Strongly agree,9,Strongly agree,Always,Always,Always,Always,FALSE,More than two years ago
Somewhat dissatisfied,Somewhat satisfied,Somewhat disagree,6,Neither agree nor disagree,Always,Always,Always,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,8,Somewhat agree,Most of the time,Most of the time,Most of the time,Sometimes,TRUE,More than two years ago
Neither satisfied nor dissatisfied,Extremely satisfied,Strongly agree,8,Strongly agree,Always,Always,Most of the time,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Extremely satisfied,Somewhat agree,10,Strongly agree,Most of the time,Most of the time,NA,Sometimes,TRUE,NA
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,8,Somewhat agree,Most of the time,About half the time,Always,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Extremely satisfied,Somewhat agree,10,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat disagree,8,Somewhat agree,Most of the time,Always,Most of the time,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Strongly agree,Most of the time,Always,Most of the time,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat disagree,4,Somewhat disagree,Most of the time,Most of the time,Most of the time,NA,FALSE,More than two years ago
Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat disagree,6,Neither agree nor disagree,Sometimes,About half the time,About half the time,About half the time,FALSE,More than two years ago
Somewhat dissatisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,Sometimes,Most of the time,Most of the time,Sometimes,TRUE,Within the last month
Extremely satisfied,Extremely satisfied,Somewhat disagree,10,Somewhat disagree,Most of the time,Most of the time,Most of the time,Most of the time,TRUE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,5,Somewhat agree,Sometimes,About half the time,Most of the time,Most of the time,TRUE,1-6 months ago
Extremely satisfied,Extremely satisfied,Somewhat disagree,8,Somewhat agree,Most of the time,Always,Always,Sometimes,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,8,Somewhat agree,Most of the time,Most of the time,Most of the time,About half the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,7,Strongly agree,NA,Always,About half the time,Always,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Strongly disagree,8,Somewhat agree,Always,Always,Most of the time,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Strongly agree,8,Somewhat agree,Always,Always,Sometimes,Most of the time,FALSE,More than two years ago
Extremely satisfied,Somewhat satisfied,Somewhat agree,8,Neither agree nor disagree,Most of the time,Always,About half the time,Always,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Strongly agree,8,Strongly agree,Always,Always,Always,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,7,Somewhat agree,Always,Most of the time,Most of the time,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,Always,Always,Most of the time,NA,TRUE,1-2 years ago
Extremely satisfied,Neither satisfied nor dissatisfied,Somewhat agree,5,Neither agree nor disagree,Sometimes,Most of the time,About half the time,Most of the time,TRUE,NA
Somewhat satisfied,Extremely satisfied,Somewhat agree,9,Neither agree nor disagree,Most of the time,Always,Most of the time,Never,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Strongly disagree,6,Neither agree nor disagree,NA,Most of the time,Most of the time,NA,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,9,Strongly agree,Always,Always,Most of the time,Most of the time,FALSE,More than two years ago
Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat disagree,5,Somewhat agree,Most of the time,Always,Sometimes,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Somewhat agree,Most of the time,Always,Most of the time,Most of the time,TRUE,More than two years ago
Extremely satisfied,Somewhat satisfied,Neither agree nor disagree,8,Somewhat disagree,Always,Always,Always,Sometimes,FALSE,NA
Extremely dissatisfied,Somewhat dissatisfied,Somewhat disagree,2,Somewhat disagree,Always,Always,Always,Sometimes,TRUE,Within the last month
Somewhat satisfied,Extremely dissatisfied,Neither agree nor disagree,3,Strongly agree,Most of the time,Always,Most of the time,Sometimes,FALSE,NA
Somewhat dissatisfied,Somewhat dissatisfied,Strongly disagree,3,Neither agree nor disagree,NA,Sometimes,Most of the time,Sometimes,FALSE,Within the last month
Extremely satisfied,Extremely satisfied,Somewhat disagree,10,Strongly agree,Always,NA,Most of the time,Always,FALSE,1-2 years ago
Somewhat satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Most of the time,Always,About half the time,Never,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Neither agree nor disagree,8,Somewhat agree,Always,Always,Always,Sometimes,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,About half the time,About half the time,Sometimes,About half the time,FALSE,More than two years ago
Somewhat dissatisfied,Neither satisfied nor dissatisfied,Somewhat disagree,8,Strongly disagree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Strongly agree,8,Somewhat agree,NA,Sometimes,NA,Sometimes,TRUE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Somewhat disagree,Always,Always,Always,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Somewhat agree,Always,Always,Most of the time,Always,TRUE,More than two years ago
Extremely satisfied,Somewhat satisfied,Somewhat agree,9,Strongly agree,Most of the time,Always,Always,Most of the time,TRUE,NA
Somewhat satisfied,Extremely satisfied,Somewhat agree,9,Somewhat agree,Sometimes,About half the time,Sometimes,Sometimes,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,7,Somewhat agree,Most of the time,Always,About half the time,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Strongly agree,8,Somewhat agree,Always,Always,Always,Most of the time,FALSE,1-6 months ago
Extremely satisfied,Extremely satisfied,Neither agree nor disagree,9,Somewhat agree,Most of the time,Most of the time,Always,About half the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,10,Somewhat agree,Most of the time,Always,Always,Most of the time,TRUE,More than two years ago
Extremely dissatisfied,Somewhat dissatisfied,Strongly disagree,3,Strongly disagree,Sometimes,Most of the time,Always,Sometimes,FALSE,Within the last month
Extremely satisfied,Extremely satisfied,Somewhat agree,9,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,6,Neither agree nor disagree,Always,Always,Always,Sometimes,TRUE,NA
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Always,FALSE,NA
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,About half the time,Always,Always,Most of the time,FALSE,More than two years ago
Extremely satisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,Most of the time,Most of the time,Sometimes,Sometimes,FALSE,Within the last month
Somewhat satisfied,Somewhat satisfied,Somewhat agree,9,Somewhat agree,Always,Always,Always,Always,FALSE,NA
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,2,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,1-2 years ago
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,5,Somewhat disagree,About half the time,About half the time,About half the time,About half the time,FALSE,NA
Somewhat satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,NA,Always,Always,Always,FALSE,NA
Somewhat satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Most of the time,Always,Most of the time,Always,TRUE,Within the last month
Extremely satisfied,Somewhat satisfied,Somewhat agree,8,Strongly agree,Most of the time,Most of the time,Sometimes,Sometimes,TRUE,More than two years ago
Somewhat dissatisfied,Extremely dissatisfied,Strongly disagree,2,Somewhat disagree,Always,Sometimes,Sometimes,Sometimes,FALSE,1-6 months ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Somewhat agree,About half the time,Always,Always,Always,FALSE,1-2 years ago
Somewhat satisfied,Extremely satisfied,Somewhat disagree,9,Strongly agree,NA,Most of the time,Most of the time,NA,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,9,Strongly agree,Always,Always,Most of the time,Always,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,10,Strongly agree,Always,Always,Always,Most of the time,FALSE,NA
Extremely dissatisfied,Somewhat satisfied,Somewhat disagree,3,Somewhat agree,Most of the time,Sometimes,Most of the time,Never,TRUE,1-6 months ago
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,7,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,TRUE,NA
Somewhat satisfied,Extremely satisfied,Somewhat agree,10,Strongly agree,Most of the time,Always,Most of the time,Sometimes,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Somewhat agree,Always,Always,NA,NA,FALSE,1-6 months ago
Extremely satisfied,Extremely satisfied,Strongly agree,8,Strongly agree,Most of the time,Most of the time,Most of the time,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat disagree,7,Neither agree nor disagree,Most of the time,Most of the time,Always,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Neither agree nor disagree,10,Somewhat agree,Always,Always,Always,Sometimes,TRUE,1-6 months ago
Somewhat dissatisfied,Extremely satisfied,Strongly agree,9,Strongly agree,Most of the time,Always,Most of the time,Sometimes,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,8,Strongly agree,Always,Always,Most of the time,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,9,Strongly agree,Sometimes,Always,About half the time,About half the time,FALSE,More than two years ago
Extremely dissatisfied,Somewhat satisfied,Somewhat disagree,2,Somewhat disagree,Most of the time,Most of the time,Most of the time,Sometimes,FALSE,Within the last month
